CNPJ,
19287843000149,S0
36361757000158,S0
45191944000121,S0
46289265000152,S0
50604865000135,S0
13498505000170,S0
17284393000105,S0
21137916000168,S0
22401518000170,S0
24007774000102,S0
27214680000100,S0
28916274000144,S0
31186918000109,S0
36069352000140,S0
39883811000113,S0
50796385000113,S0
26426550000160,S0
49145229000103,S0
20680908000109,S0
44646971000189,S0
57365487000123,S0
43882330000160,S0
29505367000149,S0
55541375000150,S0
00776218000132,S0
01296921000106,S0
04085509000135,ZZ
04125644000167,S0
06178090000191,S0
07002482000168,ZZ
07195187000175,S0
07562856000108,S0
09494848000199,S0
09620977000186,S0
14518824000162,ZZ
14783135000185,S0
17541462000119,ZZ
19593613000108,S0
20640606000107,S0
20809479000119,S0
21093637000140,S0
21947146000119,S0
23341800000171,S0
24996685000136,ZZ
26679628000159,S0
27350057000177,S0
27795379000120,S0
30821270000124,S0
31553516000197,S0
34656303000189,ZZ
34954043000128,ZZ
35453400000137,S0
36328540000146,ZZ
37622338000195,S0
39357512000145,S0
39812564000164,ZZ
40777854000101,S0
41129699000171,S0
47130134000190,S0
53163210000167,ZZ
59466409000140,S0
01478434000164,ZZ
02727257000175,S0
04010280000170,S0
05266757000145,S0
05399512000196,S0
10508706000112,S0
11448889000190,S0
12342854000135,S0
12644492000137,S0
13002929000100,ZZ
13381721000130,S0
20314255000136,S0
22009794000197,S0
23936042000134,S0
24001614000156,S0
25332456000180,S0
26909105000151,S0
26986740000132,S0
27025156000183,ZZ
27109426000134,S0
27486869000144,S0
28392840000166,ZZ
28431575000188,S0
29186133000186,ZZ
29227262000175,ZZ
29266234000167,S0
29715965000142,ZZ
29974056000129,S0
30038928000126,ZZ
30181816000120,S0
30191799000101,ZZ
30791432000129,ZZ
30827753000136,ZZ
31019001000101,ZZ
31557292000191,S0
32085038000109,S0
32874012000131,S0
35606798000102,S0
36153677000107,S0
36321193000120,ZZ
36614599000109,ZZ
37382056000168,ZZ
39226181000104,ZZ
39267166000104,S0
39524449000194,S0
39570867000118,ZZ
40949469000196,ZZ
42181580000100,ZZ
42533123000138,S0
43637542000182,ZZ
44346079000182,S0
44811247000163,S0
45079413000141,ZZ
45372540000134,ZZ
45489142000100,S0
46373222000150,S0
51195498000126,ZZ
51692604000187,ZZ
52371974000185,ZZ
53519428000101,S0
54308802000192,ZZ
15552333000109,S0
30976427000190,S0
13896693000194,S0
37572177000172,ZZ
11688995000141,S0
54329442000105,ZZ
20740758000173,S0
27690514000172,ZZ
57324752000125,ZZ
26612017000193,ZZ
48958632000199,ZZ
08517301000107,ZZ
55198851000182,S0
52095036000108,S0
40704979000101,ZZ
31460926000193,S0
04306284000108,ZZ
00818578000150,ZZ
01414778000100,S0
01449930000947,ZZ
01618030000129,ZZ
02414093000126,ZZ
02906702000164,ZZ
04069709000102,S0
04986942000141,S0
05149280000118,S0
05805349000114,ZZ
06075854000113,ZZ
11033905000184,S0
11637221000191,S0
13131591000188,ZZ
13156651000117,ZZ
14085790000160,ZZ
14418257000172,ZZ
14444409000101,ZZ
17280287000153,ZZ
18795796000181,ZZ
19378769005305,ZZ
19378769023036,ZZ
21045717000120,S0
21586949000195,ZZ
21762079000168,S0
22687094000151,S0
23994466000155,ZZ
25328763000197,ZZ
26369035000196,ZZ
27604788000100,S0
29567168000165,ZZ
31733363000160,ZZ
32894249000184,S0
33670946000114,ZZ
34053378000175,ZZ
34126088000104,ZZ
34412388000150,ZZ
35971738000180,ZZ
36430949000179,ZZ
37353027000178,ZZ
39799762000135,S0
42777456000102,ZZ
43970205000102,ZZ
49913913000198,ZZ
58119199000151,S0
62173620009306,ZZ
63554067000198,S0
90347840001270,ZZ
00893599000130,ZZ
02005144000166,ZZ
02325299000180,ZZ
02913555000150,S0
03003319000169,ZZ
03548940000108,ZZ
03879169000151,ZZ
04124182000163,S0
04315549000126,ZZ
04759795000177,ZZ
04807964000105,ZZ
07041060000100,ZZ
07094886000129,ZZ
07584644000113,ZZ
07615119000118,ZZ
08155060000195,S0
09414896000120,S0
10398523000191,ZZ
10416729000105,ZZ
10699764000170,ZZ
12075383000146,ZZ
12337599000132,ZZ
12688265000103,ZZ
13318882000180,ZZ
19378769008665,ZZ
20262956000179,ZZ
20717154000106,ZZ
21918040000197,ZZ
22168141000150,S0
23129279000294,ZZ
23383503000199,ZZ
23495793000162,ZZ
23518922000190,ZZ
24232673000135,ZZ
24623540000190,ZZ
25321868000114,S0
26066081000116,ZZ
27083782000126,ZZ
27419126000151,S0
27426189000135,S0
27551696000109,ZZ
28128052000167,ZZ
28922809000190,ZZ
29349315000120,ZZ
29396972000129,ZZ
29460438000134,ZZ
29990153000105,ZZ
30493748000134,ZZ
31676406000112,S0
31801194000158,ZZ
31950325000169,S0
32213442000102,ZZ
33583592002890,S0
34058084000136,ZZ
34126211000197,ZZ
35977115000115,ZZ
36340131000165,ZZ
37022165000174,ZZ
37413095000185,ZZ
39131032000161,ZZ
39270012000171,ZZ
39293289000110,ZZ
39299565000157,ZZ
39356811000165,ZZ
39816459000101,S0
39839129000123,ZZ
40395056000107,ZZ
40968024000153,ZZ
42345144000120,ZZ
42888970000115,ZZ
43184527000126,ZZ
44799537000139,ZZ
44962786000101,ZZ
46563938000110,ZZ
54141391000193,ZZ
65414823000109,S0
80680093000181,ZZ
92306257000780,ZZ
04150312000132,ZZ
14878564000136,ZZ
42653130000173,ZZ
60860087002495,S0
04740876000125,S0
04238160000396,S0
41652852000140,ZZ
08314044000106,S0
50418710000104,ZZ
25162717000160,ZZ
03728798000180,ZZ
38395651000109,ZZ
04120966004887,S0
53078135000136,S0
16707848000357,ZZ
60397874000822,S0
05212696000133,S0
05854771000160,S0
